ID,County,InstallType,UrbanRural,Class,Percent_100,Substation_100,HIFLD_100,Percent_200,Substation_200,HIFLD_200,Percent_CAISO,Substation_CAISO,HIFLD_CAISO,SolarTech,Area,Length,DistSub_100_binned,DistSub_200_binned,DistSub_CAISO_binned
1,3,2,0,0,0,0,1.0784137375632987,0,2,1.2945437285396164,3,0,1.589278262469465,0,-0.5342594419529321,-0.4553044380681668,2,3,0
2,3,2,0,0,0,0,1.0784137375632987,0,2,1.2945437285396164,3,0,1.589278262469465,0,-0.4690349792571704,-0.45189300835189566,2,3,0
3,3,2,0,0,0,0,1.0784137375632987,0,2,1.2945437285396164,3,0,1.589278262469465,0,-0.6495899162305866,-0.6868021406834313,2,3,0
4,3,2,0,0,0,0,1.0784137375632987,0,2,1.2945437285396164,3,0,1.589278262469465,0,-0.6064334272379657,-0.520223716409678,2,3,0
5,2,2,0,0,0,0,1.0784137375632987,0,2,1.2945437285396164,3,0,1.589278262469465,1,-0.734261053340268,-0.7071371065481139,2,3,0
6,2,2,0,0,0,0,1.0784137375632987,0,2,1.2945437285396164,3,0,1.589278262469465,1,-0.35904309192163536,-0.2813015110343105,2,3,0
7,1,2,0,0,0,0,1.0784137375632987,0,2,1.2945437285396164,3,0,1.589278262469465,2,-0.7807904833463292,-0.8665369290086705,2,3,0
8,1,2,0,0,1,0,0.20482855677726328,0,2,1.2945437285396164,2,0,1.589278262469465,2,-0.5463359277971971,-0.5367621363692918,2,3,0
9,1,2,0,0,0,0,1.0784137375632987,0,2,1.2945437285396164,3,0,1.589278262469465,2,-0.4642404726592069,-0.3691388037504348,2,3,0
10,1,1,0,0,0,0,1.0784137375632987,0,1,1.2945437285396164,3,0,1.589278262469465,2,-0.8569976636706498,-0.9998694116413602,3,3,0
11,1,2,0,0,1,1,0.20482855677726328,0,2,1.028971760866293,2,0,1.589278262469465,2,1.1047226860772554,0.900701790228441,1,3,0
12,1,2,0,0,1,1,0.20482855677726328,0,2,1.028971760866293,2,0,1.589278262469465,2,1.058947222782561,0.7709926050814959,1,3,0
13,2,2,0,0,1,1,0.20482855677726328,0,2,1.028971760866293,2,0,1.589278262469465,1,-0.6776540540401513,-0.6484026966619832,1,3,0
14,2,0,0,1,1,1,0.20482855677726328,0,1,1.028971760866293,2,0,1.589278262469465,1,-0.41471010855452245,-0.3290360070095057,1,3,0
15,2,1,0,0,1,1,0.20482855677726328,0,1,1.028971760866293,2,0,1.589278262469465,1,-0.9173153602614103,-1.0695371801984286,2,3,0
16,2,1,0,0,1,1,0.20482855677726328,0,1,1.028971760866293,2,0,1.589278262469465,1,-0.7124468703140167,-0.1893419388775015,2,3,0
17,2,2,0,0,1,1,0.20482855677726328,0,2,1.028971760866293,2,0,1.589278262469465,1,-0.29572655885018934,0.3204902438712485,1,3,0
18,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.3614561578588999,-0.3624071577037788,1,2,1
19,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.5412574795844425,-0.4924915701145119,1,2,1
20,2,1,0,0,1,1,0.20482855677726328,0,2,1.028971760866293,2,0,1.589278262469465,0,-0.8886850775009686,-0.9331111221489962,2,2,1
21,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.06590878257655688,-0.12968390766327503,1,2,1
22,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.0882265511481647,-0.08282993627211267,1,2,1
23,2,1,0,0,1,1,0.20482855677726328,0,2,1.028971760866293,2,0,1.589278262469465,0,-0.8198186440359739,-0.6202336349888262,2,2,1
24,2,1,0,0,1,1,0.20482855677726328,0,2,1.028971760866293,2,0,1.589278262469465,0,-0.7408883956759733,-0.812944231253845,2,2,1
25,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.6941477326880112,-0.7246221544100707,1,2,1
26,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.9214071996412597,-0.6999618102124927,1,2,1
27,2,2,0,0,1,1,0.20482855677726328,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.7849018484680298,-0.8529199005138886,1,2,1
28,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.3895772013194133,-0.19583065349607295,1,2,1
29,2,2,0,0,0,0,0.41163542593150454,0,5,0.39357538797718783,2,0,1.589278262469465,0,-0.5837718471772605,-0.6017356196439346,1,2,1
30,2,2,0,0,0,0,0.41163542593150454,0,5,0.39357538797718783,2,0,1.589278262469465,0,-0.38630488481003195,-0.3545264509275086,1,2,1
31,2,2,0,0,1,1,0.20482855677726328,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.07339045198218892,0.059482760858891495,1,2,1
32,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.224480357668795,-0.21525006646372674,1,2,1
33,1,2,0,0,0,0,0.41163542593150454,0,5,0.39357538797718783,2,0,1.589278262469465,0,0.49508080834331253,0.5445522422471967,1,2,2
34,2,2,0,0,0,2,1.0740355099473309,0,3,1.028971760866293,2,0,1.589278262469465,0,-0.1711904690779573,-0.18023620204731428,1,2,1
35,1,2,0,0,0,0,0.41163542593150454,0,5,0.39357538797718783,2,0,1.589278262469465,1,2.0413125519357824,1.8873656677314146,1,2,1
36,1,1,0,0,0,0,0.41163542593150454,0,4,0.39357538797718783,2,0,1.589278262469465,1,-0.376910606083434,-0.05691493625927365,2,2,1
37,1,1,0,0,0,2,-0.7480798066980702,0,2,1.028971760866293,2,0,1.589278262469465,1,-0.7040658163833657,-0.7635439458864559,2,2,1
38,1,2,0,0,0,0,0.7127029602295221,0,4,0.39357538797718783,2,0,1.589278262469465,1,-0.6487798980779607,-0.6933615623899461,2,2,1
39,0,0,0,1,1,1,0.20482855677726328,0,2,1.028971760866293,2,0,1.589278262469465,2,0.5127852889194596,0.45176157635434594,1,2,1
40,1,2,0,0,0,0,0.7127029602295221,0,4,0.39357538797718783,2,0,1.589278262469465,1,-0.28677933106811226,-0.11285076572289947,2,2,1
41,1,2,0,0,0,2,1.4317624604519898,0,3,0.39357538797718783,2,1,1.589278262469465,1,-0.27104477500240143,-0.10212385979564902,1,2,0
42,1,2,0,0,0,2,1.4317624604519898,0,3,0.39357538797718783,2,1,1.589278262469465,1,-0.20057319818937883,-0.26450456088653784,1,2,0
43,0,1,0,0,0,1,0.7127029602295221,0,3,0.39357538797718783,2,0,1.589278262469465,2,-0.744129427072305,-0.8053391192808957,3,2,0
44,1,2,0,0,0,2,0.7127029602295221,0,3,0.39357538797718783,2,0,1.589278262469465,1,-0.7821351922480528,-0.8507725807180868,2,2,0
45,1,2,0,0,0,2,0.7127029602295221,0,3,0.39357538797718783,2,0,1.589278262469465,1,-0.6478570973321435,-0.45426450550722286,2,2,0
46,1,1,0,0,0,2,-0.7480798066980702,0,2,1.028971760866293,2,0,1.589278262469465,1,-0.6551223652839032,-0.6948769426796613,2,2,1
47,0,2,0,0,0,1,0.7127029602295221,0,4,0.39357538797718783,2,0,1.589278262469465,2,-0.6465342426521359,-0.42863360487414826,2,2,0
